address,hwaddr,client_id,valid_lifetime,expire,subnet_id,fqdn_fwd,fqdn_rev,hostname,state,user_context,pool_id
192.168.10.30,02:42:ac:11:00:10,,600,1762853827,1,0,0,4295132dbd10,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762853829,1,0,0,cd8ea83fe6d1,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762853830,1,0,0,439d34a5a6c0,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762853830,1,0,0,45d8bc6fb74c,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762934058,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762934061,1,0,0,8708c4562b9c,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762934061,1,0,0,9b4171ed9d50,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762934061,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762934299,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762934305,1,0,0,8708c4562b9c,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762934331,1,0,0,9b4171ed9d50,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762934337,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762934548,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762934589,1,0,0,8708c4562b9c,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762934597,1,0,0,9b4171ed9d50,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762934634,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762934818,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762934872,1,0,0,9b4171ed9d50,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762934877,1,0,0,8708c4562b9c,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762934901,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762935088,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762935113,1,0,0,8708c4562b9c,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762935133,1,0,0,9b4171ed9d50,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762935194,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762935328,1,0,0,7b7f8f5a6dd1,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762935371,1,0,0,8708c4562b9c,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762935425,1,0,0,9b4171ed9d50,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762935460,1,0,0,ccf2b8bd71b8,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762936532,1,0,0,71c0c5e84a1e,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762936532,1,0,0,af1e29187225,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762936533,1,0,0,7e6219cfe8db,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762936534,1,0,0,c3023265a4f3,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762936561,1,0,0,33a3e815c33a,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762936561,1,0,0,9e2959e47fd5,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762936561,1,0,0,251daa749808,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762936566,1,0,0,2b43d4d0c83a,0,,0
192.168.10.30,02:42:ac:11:00:10,,600,1762936806,1,0,0,2b43d4d0c83a,0,,0
192.168.10.31,06:a3:7c:56:ca:f3,,600,1762936823,1,0,0,9e2959e47fd5,0,,0
192.168.10.101,ae:a6:32:cd:93:ef,,600,1762936837,1,0,0,251daa749808,0,,0
192.168.10.32,a2:ba:65:be:8a:d2,,600,1762936848,1,0,0,33a3e815c33a,0,,0
